Marke,ParentSKU,ProductName,Revenue_total,MCP_Name,MCP_Type,MCP_Brand,MCP_Color_keys,MCP_Color_labels,MCP_Collection,MCP_Cut,MCP_Surface,MCP_Features,MCP_Gender,MCP_resolved
Puma,ETS041696_007,PUMA ULTRA Grip 1 Hybrid Pro Torwarthan,61.48,PUMA ULTRA Grip 1 Hybrid Pro,configurable,PUMA,"yellow, blue","Gelb, Blau",,,,"Bequem, Grip, Individuelle Passform, Leicht","Herren, Damen",true
KEEPERsport,KS333-015,KEEPERsport GK-Glove Varan5 Pro NC Aqua,61.48,KEEPERsport GK-Glove Varan5 Pro NC Aqua,configurable,KEEPERsport,"black, green","Schwarz, Grün",,Innennaht (NC),Nässe / Regen,,,true
NIKE,ETSGS0387_430,Nike SGT Premier Torwarthandschuh Blau,60.78,Nike SGT Premier,configurable,NIKE,"white, blue","Weiß, Blau",,Außennaht (RC),,"Bequem, Grip, Ballkontrolle, Leicht","Herren, Damen",true
uhlsport,U1014,Uhlsport Eliminator Absolutgrip TW-Hand,60.5,uhlsport Eliminator Absolutgrip,configurable,uhlsport,"red, white","Rot, Weiß",uhlsport Eliminator,Außennaht (RC),Trocken,,Herren,true
uhlsport,ETS1011034_01,Uhlsport Eliminator Soft Adv. Handschuh,60.42,Uhlsport Eliminator Soft Adv.,configurable,uhlsport,"black, orange","Schwarz, Orange",,Außennaht (RC),"Normaler Rasen, Trocken","Dämpfung, Leicht, Atmungsaktiv",,true
Puma,P041472-01,PUMA ONE Grip 1 IC Torwarthandschuh Wei,60.16,PUMA ONE Grip 1 IC,configurable,PUMA,"white, orange","Weiß, Orange",,Innennaht (NC),Trocken,"Atmungsaktivität, Bequem, Grip, Schutz",,true
Elite Sport,EL993160,Elite Aqua Hybrid,59.02,Elite Aqua Hybrid,configurable,ELITE SPORT,"white, blue","Weiß, Blau",,Hybrid (Mix),Nässe / Regen,,,true
NIKE,NPGS267-696,NIKE GK Gunn Cut Promo,59.02,NIKE GK Gunn Cut Promo,configurable,NIKE,red,Rot,,Rollfinger (GC),Trocken,,,true
Under Armour,UA1279427-001,Under Armour Desafio Pro FS TWS-Handsch,59.02,Under Armour Desafio Pro FS TWS-Handschuh,configurable,UNDER ARMOUR,"yellow, black","Gelb, Schwarz",Under Armour Desafio,Außennaht (RC),Trocken,,Herren,true
reusch,ETS3870959_236,Reusch Prisma Pro G3 Evolution TW-Hands,58.98,,,,,,,,,,,true
reusch,ETS5172239_4010,Reusch Attrakt Freegel TW-Handschuh Jun,58.96,Reusch Attrakt Freegel Junior,configurable,REUSCH,blue,Blau,,Innennaht (NC),,"Bequem, Dämpfung, Grip, Ballkontrolle",,true
Derbystar,ETS2678_000,Derbystar Attack XP 13 Torwarthandschuh,58.48,Derbystar Attack XP 13,configurable,Derbystar,"white, blue","Weiß, Blau",,,,,Herren,true
HO Soccer,HO510619,HO SOCCER One NC,57.31,HO SOCCER One NC,configurable,HO SOCCER,yellow,Gelb,HO Soccer One,Innennaht (NC),Trocken,,,true
HO Soccer,HO0520103,HO Soccer Primary Protek Flat Race,56.25,HO Soccer Primary Protek Flat Race,configurable,HO SOCCER,yellow,Gelb,,Außennaht (RC),,,,true
Sells Goalkeeper,WA-4,SELLS Pro Touch Allround,55.33,SELLS Pro Touch Allround,configurable,SELLS,"white, green","Weiß, Grün",,Hybrid (Mix),Kunstrasen / Halle / Bolzplatz,,,true
Sells Goalkeeper,SGP1438,Sells Axis 360 Pro Aqua,55.32,,,,,,,,,,,true
uhlsport,U1053-02,Uhlsport Aerored SG HN TW-Handschuh F02,54.84,uhlsport Aerored SG NC,configurable,uhlsport,"red, grey","Rot, Grau",,Innennaht (NC),Trocken,"Bequem, Dämpfung, Grip, Halt, Schutz, Supergrip",Herren,true
Puma,P041216-32,PUMA evoPOWER Protect 1.3 Torwarthandsc,54.84,PUMA evoPOWER Protect 1.3,configurable,PUMA,"black, green","Schwarz, Grün",,Außennaht (RC),Trocken,,Herren,true
Sells Goalkeeper,SGP151622,Sells Total Contact Pro Cyclone,53.41,Sells Total Contact Pro Cyclone,configurable,SELLS,blue,Blau,Sells Total Contact,Hybrid (Mix),Nässe / Regen,,,true
NIKE,NCK4871-644,Nike Premier SGT RS Promo TW-Handschuh,53.28,Nike Premier SGT NC Promo,configurable,NIKE,"red, black","Rot, Schwarz",NIKE Premier,Innennaht (NC),Trocken,"Atmungsaktivität, Bequem, Dämpfung, Ballkontrolle, Haltbarkeit, Schutz","Herren, Damen",true
uhlsport,ETS1011074_001,Uhlsport Absolutgrip TW-Handschuh Blau,53.28,,,,,,,,,,,true
