Marke_Code,Marke,ParentSKU,ProductName,Kategorie_Code,Kategorie,Resolution_hint,Extracted_ID,Units_total,Revenue_total,Units_2022,Revenue_2022,Units_2023,Revenue_2023,Units_2024,Revenue_2024,Units_2025,Revenue_2025,Units_2026,Revenue_2026,Units_2022-Q1,Revenue_2022-Q1,Units_2022-Q2,Revenue_2022-Q2,Units_2022-Q3,Revenue_2022-Q3,Units_2022-Q4,Revenue_2022-Q4,Units_2023-Q1,Revenue_2023-Q1,Units_2023-Q2,Revenue_2023-Q2,Units_2023-Q3,Revenue_2023-Q3,Units_2023-Q4,Revenue_2023-Q4,Units_2024-Q1,Revenue_2024-Q1,Units_2024-Q2,Revenue_2024-Q2,Units_2024-Q3,Revenue_2024-Q3,Units_2024-Q4,Revenue_2024-Q4,Units_2025-Q1,Revenue_2025-Q1,Units_2025-Q2,Revenue_2025-Q2,Units_2025-Q3,Revenue_2025-Q3,Units_2025-Q4,Revenue_2025-Q4,Units_2026-Q1,Revenue_2026-Q1,Units_2026-Q2,Revenue_2026-Q2
115,adidas,10246650_HL0008_000,adidas Tiro 23 Competition Torwarttriko,1001,Torwarttrikots,11ts_direct,10246650,137,4559.03,0,0.0,109,3750.18,22,664.06,6,144.79,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17,579.0,15,567.75,49,1650.38,28,953.05,8,280.94,3,82.65,8,221.32,3,79.15,4,95.55,1,26.77,1,22.47,0,0.0,0,0.0,0,0.0
115,adidas,AFI4194,adidas AdiPro 20 Torwarttrikot langarm,1001,Torwarttrikots,legacy,,151,4499.1,85,2851.02,31,786.07,28,706.42,7,155.59,0,0.0,32,1166.11,16,518.07,23,735.1,14,431.74,6,203.38,4,131.99,15,252.66,6,198.04,7,240.09,6,138.79,10,222.61,5,104.93,4,72.08,2,56.18,1,27.33,0,0.0,0,0.0,0,0.0
115,adidas,AFI4195,adidas AdiPro 20 Torwarttrikot langarm,1001,Torwarttrikots,legacy,,177,4490.25,102,3131.76,40,687.62,29,536.78,6,134.09,0,0.0,35,1228.37,36,1096.38,21,555.87,10,251.14,4,97.33,3,62.91,26,420.37,7,107.01,14,311.98,4,58.73,7,105.11,4,60.96,4,76.71,0,0.0,0,0.0,2,57.38,0,0.0,0,0.0
136,uhlsport,10272411_100366712_112,uhlsport Reaction Torwartset Weiss F12,1001,Torwarttrikots,11ts_direct,10272411,87,4461.23,0,0.0,20,1255.34,55,2675.6,12,530.29,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14,889.88,6,365.46,6,339.06,11,527.19,24,1184.2,14,625.15,4,179.7,7,308.62,1,41.97,0,0.0,0,0.0,0,0.0
136,uhlsport,10292050_1005292_001,uhlsport Prediction Torwartset F01,1001,Torwarttrikots,11ts_direct,10292050,87,4458.22,0,0.0,0,0.0,45,2497.18,42,1961.04,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,71.02,2,112.28,11,676.64,31,1637.24,13,682.04,13,606.45,15,617.25,1,55.3,0,0.0,0,0.0
115,adidas,10210234_HB1613_000,adidas Condivo 22 Torwarttrikot langarm,1001,Torwarttrikots,11ts_direct,10210234,107,4410.7,70,3181.75,21,727.96,12,381.82,4,119.17,0,0.0,0,0.0,7,368.0,55,2399.62,8,414.13,0,0.0,9,315.23,4,138.89,8,273.84,2,62.81,3,91.72,4,130.1,3,97.19,2,54.0,0,0.0,2,65.17,0,0.0,0,0.0,0,0.0
115,adidas,10246587_HK7664_000,adidas Tiro 23 Pro GK-Shirt l/s,1001,Torwarttrikots,11ts_direct,10246587,72,4311.11,0,0.0,48,2988.62,12,771.69,12,550.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12,785.06,9,576.93,22,1298.48,5,328.15,4,285.47,4,239.16,4,247.06,0,0.0,0,0.0,3,136.73,6,273.8,3,140.27,0,0.0,0,0.0
115,adidas,10276015_IN0407_000,adidas Tiro 24 Competition Torwarttriko,1001,Torwarttrikots,11ts_direct,10276015,124,4243.59,0,0.0,0,0.0,67,2417.25,57,1826.34,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,255.53,11,460.33,26,895.53,24,805.86,17,603.34,14,439.28,21,643.53,5,140.19,0,0.0,0,0.0
115,adidas,10276037_IN0428_000,adidas Tiro 24 Pro Torwarttrikot Blau,1001,Torwarttrikots,11ts_direct,10276037,70,4224.3,0,0.0,0,0.0,59,3588.88,9,532.74,2,102.68,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,79.95,14,1028.93,27,1556.65,17,923.35,6,356.65,3,176.09,0,0.0,0,0.0,1,57.3,1,45.38
115,adidas,10276017_IN0410_000,adidas Tiro 24 Competition Torwarttriko,1001,Torwarttrikots,11ts_direct,10276017,112,4217.65,0,0.0,0,0.0,95,3691.22,17,526.43,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16,696.95,27,1125.07,39,1398.21,13,470.99,6,219.23,3,86.24,8,220.96,0,0.0,0,0.0,0,0.0
