ParentSKU,Marke,ProductName,Farbcode,Current_Basisfarbe,Current_Highlight_1,Cut,Color_confidence,Resolution_source,Revenue_EUR,Flag
KS10030-903,KEEPERsport,KEEPERsport Varan8 Hero NC,903,black,,Negative Cut,high,mcp_ks,63438.0,MCP_KS_VERIFY
KS10070-804,KEEPERsport,KEEPERsport Varan8 Pro NC TW-Handschuhe,804,white,blue,Negative Cut,high,mcp_ks,63148.0,MCP_KS_VERIFY
KS10021-471,KEEPERsport,KEEPERsport Varan7 Champ NC TW-Handschu,471,black,turquoise,Negative Cut,high,mcp_ks,62330.0,MCP_KS_VERIFY
KS10026-066,KEEPERsport,KEEPERsport Varan7 Premier NC TW-Handsc,066,red,white,Negative Cut,high,mcp_ks,61459.0,MCP_KS_VERIFY
KS10020-066,KEEPERsport,KEEPERsport Varan7 Hero NC TW-Handschuh,066,red,white,Negative Cut,high,mcp_ks,58863.0,MCP_KS_VERIFY
KS10025-066,KEEPERsport,KEEPERsport Varan7 Pro NC TW-Handschuhe,066,red,white,Negative Cut,high,mcp_ks,58818.0,MCP_KS_VERIFY
KS10020-471,KEEPERsport,KEEPERsport Varan7 Hero NC TW-Handschuh,471,black,turquoise,Negative Cut,high,mcp_ks,58681.0,MCP_KS_VERIFY
KS10040-804,KEEPERsport,KEEPERsport Varan8 Premier NC Torwartha,804,white,blue,Negative Cut,high,mcp_ks,58150.0,MCP_KS_VERIFY
KS10028-701,KEEPERsport,KEEPERsport Varan7 Challenge NC TW-Hand,701,blue,,Negative Cut,high,mcp_ks,57771.0,MCP_KS_VERIFY
KS10060-804,KEEPERsport,KEEPERsport Varan8 Challenge NC,804,white,,Negative Cut,high,mcp_ks,56962.0,MCP_KS_VERIFY
U1011373-001,uhlsport,uhlsport FM Cybertec Ultragrip HN Torwa,,white,blue,Negative Cut,medium,mcp,55323.0,MEDIUM_CONF
KS10050-903,KEEPERsport,KEEPERsport Varan8 Champ NC Demon Torwa,903,black,,Negative Cut,high,mcp_ks,54512.0,MCP_KS_VERIFY
