ParentSKU,Marke,MCP_Basisfarbe,Desc_Basisfarbe,Desc_colors,Revenue,Status
P041638-01,Puma,black,,,1040.83,no_color_in_text
R3970239-583,reusch,yellow,,,1039.92,no_description
R5170439-3001,reusch,red,,,1038.44,no_description
NGS3884-644,NIKE,red,red,red,1035.13,found
HO520041,HO Soccer,blue,,,1029.98,no_description
NCZ8136-073,NIKE,grey,,,1026.88,no_color_in_text
RPB70102102,gloveglu,red,,,1019.01,no_description
R5672955-4126,reusch,blue,,,1013.93,no_color_in_text
HO510869,HO Soccer,yellow,blue,blue,1012.61,found
U1117,uhlsport,yellow,,,1007.28,no_color_in_text
U1149,uhlsport,yellow,,,1005.23,no_color_in_text
HO520012,HO Soccer,black,,,1004.99,no_description
P000034-REG,reusch,,,,991.58,no_description
U1276-01,uhlsport,black,,,984.43,no_description
NCK4804-810,NIKE,red,,,982.81,no_color_in_text
NCZ8135-073,NIKE,grey,,,982.6,no_color_in_text
SGP181910,Sells Goalkeeper,blue,,,982.39,no_color_in_text
NCQ6376-100,NIKE,black,white,white,981.03,found
R5070238-7083,reusch,black,,,980.86,no_color_in_text
ETS3770130_456,reusch,yellow,,,978.08,no_description
NCK4871-810,NIKE,red,,,964.16,no_color_in_text
EL4002410,Elite Sport,green,,,962.79,no_color_in_text
ETS1011166_001,uhlsport,yellow,,,946.4,no_color_in_text
U1056-02,uhlsport,red,,,945.25,no_color_in_text
TFA2I0Z00310,Erreà,black,,,936.83,no_description
KSU1132-01,uhlsport,white,,,934.86,no_color_in_text
U1011312012001,uhlsport,red,,,915.17,no_description
10373889_1011431_01,uhlsport,black,,,906.44,no_color_in_text
R5070135-7083,reusch,black,,,903.49,no_color_in_text
R5199354-4010,reusch,,,,899.08,no_description
P000022-WAO,reusch,,,,899.01,no_description
RH1000-370,rehab,grey,,,896.04,no_color_in_text
U1089,uhlsport,red,,,892.82,no_color_in_text
ETSFS0408_000,adidas,black,,,886.09,no_description
U1057-02,uhlsport,red,,,875.17,no_color_in_text
HO0515134IT,HO Soccer,black,,,864.41,no_description
10373887_1011401_01,uhlsport,white,,,864.25,no_color_in_text
U1086,uhlsport,red,,,862.33,no_color_in_text
HO520037IT,HO Soccer,black,,,861.39,no_description
HO520039IT,HO Soccer,black,,,857.75,no_description
HO0520378,HO Soccer,white,,,855.32,no_color_in_text
HO520025,HO Soccer,pink,,,854.71,no_description
R5172830-4010,reusch,white,,,842.64,no_description
ETS2540_000,Derbystar,black,,,838.68,no_description
ETS2551_009,JAKO,blue,,,838.64,no_description
E7220703,erima,orange,,,835.2,no_color_in_text
ETS2550_024,JAKO,grey,,,834.56,no_description
ETS1011016_01,uhlsport,red,,,834.04,no_description
10340451_HQ0255_395,NIKE,blue,,,832.49,no_color_in_text
NGS3889-100,NIKE,red,,,827.12,no_color_in_text
R5072208-7701,reusch,black,,,825.63,no_color_in_text
EL9990060,Elite Sport,,,,820.67,no_description
10350023_042067_11,Puma,white,,,817.79,no_color_in_text
NCZ8134-073,NIKE,grey,,,817.03,no_color_in_text
RH1006-036,rehab,white,red,red/white/green,811.69,found
10351273_042067_12,Puma,orange,,,802.91,no_color_in_text
P041637-02,Puma,white,white,white,796.95,found
KS10020,KEEPERsport,,,,794.64,no_description
U1137,uhlsport,yellow,,,792.99,no_color_in_text
