Marke,ParentSKU,ProductName,Revenue_total,Kategorie_Code,Kategorie,MCP_Name,MCP_Type,MCP_Brand,MCP_Color_keys,MCP_Color_labels,MCP_Collection,MCP_Gender,MCP_Sleeve_length,MCP_Pants_cut,MCP_Padding,MCP_Fit,MCP_Leg_type,MCP_Neckline,MCP_Feature_textile,MCP_Mesh_inset,MCP_Extra,MCP_resolved
NIKE,NBV6877-010,Nike Park 20 Pants,8831.01,1002,Torwarthosen,Nike Park 20 Pants,configurable,NIKE,"black, white","Schwarz, Weiß",,Herren,3-4,long,,normal,tight,,"breathability, lightweight",,,true
rehab,RH2000-999,Rehab Torwarthose Pant Kids Schwarz F99,8826.23,1002,Torwarthosen,Rehab GK-Pants,configurable,rehab goalkeeping,black,Schwarz,,,,long,"with-padding, hip, knee",,,,"breathability, comfortable, sweat-management, protection",,drawstring,true
KEEPERsport,KS70007K-907,KEEPERsport Torwarttrikot Kids Grün,8520.77,1009,Torwartset,KEEPERsport GK-Set BasicPadded l/s Junior,configurable,KEEPERsport,"black, green","Schwarz, Grün",,,long-sleeve,three-quarter,"hip, knee",,cuffs,round-neck,"breathability, comfortable, lightweight, sweat-management, durability",,drawstring,true
KEEPERsport,KS40015-903,KEEPERsport GK ThermoSkin Sweatshirt Sc,8504.97,1003,Torwart Trainingsoberteile,KEEPERsport GK Top ThermoSkin,configurable,KEEPERsport,"red, black","Rot, Schwarz",KEEPERsport Thermoskin,,long-sleeve,,,normal,,stand-up-collar,warm,,,true
rehab,RH6004K-201,Rehab GK Underwear Shorts Kids Schwarz,8489.19,1002,Torwarthosen,rehab GK Undershorts Junior,configurable,rehab goalkeeping,"yellow, black","Gelb, Schwarz",,,,short,hip,,,,,,,true
NIKE,NCJ6066-463,Nike Park IV GK-Shirt l/s,8468.3,1001,Torwarttrikots,Nike Park IV GK-Shirt l/s,configurable,NIKE,"white, blue","Weiß, Blau",NIKE Park,,long-sleeve,long,,tight,,round-neck,,back,,true
KEEPERsport,KS60052K-906,KEEPERsport Undershorts PowerPadded Kids,8319.35,1005,Torwart Unterziehhosen,KEEPERsport Undershorts PowerPadded Kids,configurable,KEEPERsport,black,Schwarz,KEEPERsport PowerPadded,,,short,hip,tight,,,,,drawstring,true
KEEPERsport,KS70007-904,KEEPERsport Torwarttrikot Blau,8171.01,1009,Torwartset,KEEPERsport GK-Training l/s Set + Pants 3/4,configurable,KEEPERsport,"black, blue","Schwarz, Blau",,"Herren, Damen",long-sleeve,three-quarter,"elbow, hip, knee",loose,cuffs,round-neck,"breathability, comfortable, lightweight, sweat-management, warming, durability, cushioning",general,,true
KEEPERsport,KS60011-632,KEEPERsport Underpants PowerPads Hero,8125.19,1005,Torwart Unterziehhosen,KEEPERsport Underpants PowerPads Hero,configurable,KEEPERsport,black,Schwarz,,,,long,"with-padding, hip, knee",,,,,,,true
rehab,RH2001K-451,Rehab Goalkeeper Trainingshose Kids Sch,7843.38,1002,Torwarthosen,rehab GK Pants Junior,configurable,rehab goalkeeping,black,Schwarz,,,,long,"hip, knee",,,,,,,true
Puma,ETS657036_001,PUMA Goalkeeper Pant Torwarthose Schwar,7647.07,1002,Torwarthosen,PUMA Goalkeeper GK-Pants,configurable,PUMA,black,Schwarz,,"Herren, Damen",,long,"hip, knee",,tight,,"breathability, comfortable, sweat-management, elasticity, protection, durability, cushioning",,drawstring,true
KEEPERsport,KS70007K-904,KEEPERsport Torwarttrikot Kids Blau,7552.04,1009,Torwartset,KEEPERsport GK-Training l/s Set + Pants 3/4 Junior,configurable,KEEPERsport,"black, blue","Schwarz, Blau",,,long-sleeve,three-quarter,"elbow, hip, knee",loose,cuffs,round-neck,"breathability, comfortable, lightweight, sweat-management, warming, durability",general,drawstring,true
KEEPERsport,KS50016-374,KEEPERsport GK RainSkin T-Shirt Schwarz,7511.06,1003,Torwart Trainingsoberteile,KEEPERsport GK Top RainSkin s/s,configurable,KEEPERsport,"black, blue","Schwarz, Blau",KEEPERsport RainSkin,,short-sleeve,,,,,stand-up-collar,,,,true
KEEPERsport,KS60008-999,KEEPERsport Torwart Unterziehshort Kids,7379.13,1005,Torwart Unterziehhosen,KEEPERsport Goalkeeper Undershorts PP Cold,configurable,KEEPERsport,"black, white","Schwarz, Weiß",,Herren,,short,"with-padding, hip",tight,,,"breathability, comfortable, sweat-management, durability",,,true
NIKE,NCJ6066-702,Nike Park IV GK-Shirt l/s,7282.67,1001,Torwarttrikots,Nike Park IV GK-Shirt l/s,configurable,NIKE,"yellow, white","Gelb, Weiß",NIKE Park,,long-sleeve,long,,tight,,round-neck,,back,,true
