Marke,ParentSKU,ProductName,Kategorie_Code,Kategorie,ItemID,Producer,ProducerArticleNumber,Variant,Herstellermodell,Marketingperiode,LaunchDate,ArticleGroup,CanonicalCategoryId,Color1,Color2,Color3,HerstellerFarbbezeichnung,Active,SapMaterialNumber,Produktgruppe,Produktart,Serie,Aermellaenge,Textillaenge,Passform,Ausschnitt,Material_1,Material_1_pct,Material_2,Material_2_pct,Mesh_Einsaetze,Extras,Technologien
NIKE,10289428_FD7482_644,Nike Gardien V LA Torwarttrikot Rot F64,1001,Torwarttrikots,10289428,Nike,FD7482,Nike_T_MEN,FD7482,222212,2024-06-24,103070,65,rot,rot,weiss,laser crimson/university red/white,true,FD7482-644,,Torhüter - Trikots,Gardien,Kurzarm,,,Rundhals,Polyester,100,,,allgemein,,Atmungsaktivität;Bequem;Haltbarkeit;Leicht;Schweißableitend;Dri-FIT
NIKE,10289489_FD7474_354,Nike Gardien V Torwarttrikot langarm Tü,1001,Torwarttrikots,10289489,Nike,FD7474,Nike_T_MEN,FD7474,,2024-02-22,103070,65,tuerkis,tuerkis,schwarz,hyper turq/teal nebula/black,true,FD7474-354,Torhüter,Torhüter - Trikots,,Langarm,,schmal,Rundhals,Polyester,100,,,,,Atmungsaktivität;Bequem;Leicht;Schweißableitend;Dri-FIT
NIKE,10289757_FD7480_354,Nike Gardien V Torwarttrikot LA Kids Tü,1001,Torwarttrikots,10289757,Nike,FD7480,Nike_T_KID,FD7480,,2024-03-08,103070,65,tuerkis,tuerkis,schwarz,hyper turq/teal nebula/black,true,FD7480-354,Torhüter,Torhüter - Trikots,Gardien,Langarm,Normal,normal,Rundhals,Polyester,100,,,,,Atmungsaktivität;Bequem;Haltbarkeit
NIKE,10290222_FD7482_060,Nike Gardien V Torwarttrikot Grau F060,1001,Torwarttrikots,10290222,Nike,FD7482,Nike_T_MEN,FD7482,,2024-07-02,103070,65,grau,schwarz,weiss,anthracite/black/white,true,FD7482-060,,Torhüter - Trikots,Gardien,Kurzarm,,,Rundhals,Polyester,100,,,allgemein,,Atmungsaktivität;Bequem;Haltbarkeit;Leicht;Schweißableitend;Dri-FIT
NIKE,10290250_FD7474_060,Nike Gardien V Torwarttrikot langarm Gr,1001,Torwarttrikots,10290250,Nike,FD7474,Nike_T_MEN,FD7474,,2024-01-12,103070,65,grau,schwarz,weiss,anthracite/black/white,true,FD7474-060,Torhüter,Torhüter - Trikots,,Langarm,,schmal,Rundhals,Polyester,100,,,,,Atmungsaktivität;Bequem;Leicht;Schweißableitend;Dri-FIT
NIKE,10290278_FD7480_060,Nike Gardien V Torwarttrikot LA Kids Gr,1001,Torwarttrikots,10290278,Nike,FD7480,Nike_T_KID,FD7480,,2024-03-08,103070,65,grau,schwarz,weiss,anthracite/black/white,true,FD7480-060,Torhüter,Torhüter - Trikots,Gardien,Langarm,Normal,normal,Rundhals,Polyester,100,,,,,Atmungsaktivität;Bequem;Haltbarkeit
uhlsport,10292042_1005723_041,Uhlsport Save Torwarttrikot langarm F41,1001,Torwarttrikots,10292042,uhlsport,1005723,Uhl_T_TEX,1005723,222204,2024-03-12,103070,65,blau,,,1266blue1205,true,1005723-41,Torhüter,Torhüter - Trikots,,Langarm,,normal,Rundhals,Polyester,100,,,,,Atmungsaktivität;Bequem
uhlsport,10292046_1005292K_001,uhlsport Trikot Set Kids Schwarz F001,1001,Torwarttrikots,10292046,uhlsport,1005292,Uhl_T_TEX,1005292K,222204,2024-03-15,103070,65,schwarz,,,schwarz,true,1005292-01,,Trikot-Sets,,Langarm,,normal,,Polyester,100,,,,Kordelzug,Atmungsaktivität;Bequem;Leicht;Schweißableitend
uhlsport,10292050_1005292_001,uhlsport Prediction Torwartset F01,1001,Torwarttrikots,10292050,uhlsport,1005292,Uhl_T_TEX,1005292,222204,2024-02-01,103070,65,schwarz,,,,true,1005292-01AA,,Trikot-Sets,,Langarm,,normal,,Polyester,100,,,,Kordelzug,Atmungsaktivität;Bequem;Leicht;Schweißableitend
uhlsport,10292053_1005292_092,uhlsport Prediction Torwartset F92,1001,Torwarttrikots,10292053,uhlsport,1005292,Uhl_T_TEX,1005292,222204,2024-04-08,103070,65,gelb,,,fluo gelb/schwarz,true,1005292-92,,Trikot-Sets,,Langarm,,normal,,Polyester,100,,,,Kordelzug,Atmungsaktivität;Bequem;Leicht;Schweißableitend
